input_vector,output_vector,circuit
0000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,000111011111011110011000001110000011111000000000010000000001000100001010001111111100000000001011010000010010000000000001111,c5315
0000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000,000111011111011110011000001110000011111000000000010000000001000000001010001111000000000000001011010001010000000000000001011,c5315
0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101010101000000000010000000000000001000000000010111111100000000000000000000000000000000100,000111011111011110011000001110000011111000000000010101001001101101111000000100010000000000000011000101110010000000000011111,c5315
0000000000000000000010000000000000000000000000000000000000000001000000000000000000000000000000000000000000000100000000000001000000000000000000000000000000000000000000000000000100,000111011111011110011100001110000011111000000000010000010000101011111100000101010101010101000011011111110010000110011011100,c5315
0000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001100000000000,000111011111011110011000001110000011111000001000010000001101111111111010000000000000000000001011011110010010000000000001111,c5315
0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000010000000000000000000000000000000000000000000000000000110,000111011111011110011000001110000011111000000000010000011100111011111010000000000000000000001111011110000000000000000110011,c5315
0000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000110,000111011111011110011000001110000011111000000000010000011100111011111010000000000000000000001111011110000000000000000110011,c5315
0000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100010,000111011111011110011000001110000011111000000000010000011100111011111010000000000000000000001101011110000001000000000000011,c5315
0000000000000000000000000000000000000000000001000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000010,000111011111011110011100001110000011111000000000010000011100111011111010000000000000000000001111001110000000000000001000011,c5315
0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010110101010100000000000000000000000000000000000000000000000,000100011100011110011000001110000011111000000000010010100011000100001011001111111100000000011011010000010010000000000001111,c5315
0000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001100000000000,000111011111011110011000001110000011111000001000010000001101111111111010000000000000000000001011011110010010000000000001111,c5315
0000000000000000000000000000000000000100000000000000000000000000000000000000000000000000101010101000000101010100000000000001000000000010111111000000000000001000000000000000100100,000111011111011110011000001110000011111000000000010101001100101100001100001111010000000000000011001101100110000000000010111,c5315
0000000000000000000000000000000000000000000000000000000000000001000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000110,000111011111011110011100001110000011111000000000010000011100111011111010000000000000000000001111011110000000000000000110011,c5315
0000000000000000000000000000000000000000000000000000000000000001000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000110,000111011111011110011100001110000011111000000000010000011100111011111010000000000000000000001111011110000000000000000110011,c5315
0000000000000000000000000000000000000000000000000000000000000001000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000,000111011111011110011100001110000011111000000000010000000001000100001010011111111110001111001011010000010010000000010001110,c5315
0000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000101001010101000000000000000000000000000001000000000000000000000000000000000000000,000111011111011110011000001110000011111000000000011000000001000100011100001111111100000000001011000000010010000000000100011,c5315
0000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000110,000111011111011110011000001110000011111000000000010000011100111011111010000000000000000000001111011110000000000000000110011,c5315
0000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000,000111011111011110011000001110000011111000000000010000000001000000001010001111001000000000001011010000010000000000000001011,c5315
0000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000,000111011111011110011000001110000011111000000000010000000000000100001010000000111100000000001011010000000010000000000000111,c5315
0100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000010100000000000001000000000000110110000000000000000000000000000000000100,000111011111011110011000001110000011111000000000010000001101101111111100000100010000000000000011011001110010000000000001111,c5315
0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000001000000000000000000000000000000000000,000111011111011110011000001110000011111000000000010000000001000100001000001111111100000000001011000000010010000000000011111,c5315
0000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001100000,000111011111011110011000001110000011111000000000010000000000000100001010000000111100000000001011010000000010000000000001111,c5315
0000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001100000,000111011111011110011000001110000011111000000000010000000000000100001010000000111100000000001011010000010010000000000000111,c5315
0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000011100000010000011100000000000000000000000000000010000000000000100,000110011110011110011000011110000101111000000000010010111100110011110010000010001000000000010111011111100000000000000100011,c5315
0000000000000000000000000000000000000000000000000000000000000001000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000,000111011111011110011100001110000011111000000000010000000001000100001010011111111100001111001011010000010010000000010001110,c5315
0000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000101000000000000000000000010111000000000000000010000110000000000100000000000000000100,000111011111011110011100001110000011111000000000010000001101111111110000010000000000000000000000011011111111101001111110011,c5315
0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000010001000001100000000010111010000000001000000000000000001110000000000000000000000,000111011111001000010000001110000011111000000000000000000001000100000000001111111100000000001011010000010010000000000001111,c5315
0000000000000000000000000000000000000000000000000000100000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000010,000111011111011110011100001110000011111000000000010000011100111001111010000000000000001000001111011110000000000000000000011,c5315
0000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011000,000111011111011110011000001110000011111000000000010000000001000000001010001111000000000000001011010000010010000000000001011,c5315
0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111110010001001110011100000000000001000000000010111111110000000000001000000000000000100000,000111011111011110011000001110000011111000000000010101000100000111111000000000111100000000001011001110100010000000000010111,c5315
0000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011000,000111011111011110011000001110000011111000000000010000000001000000001010001111000100000000001011010000010000000000000001011,c5315
0000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000110,000111011111011110011000001110000011111000000000010000011100111011111010000000000000000000001111011110000000000000000110011,c5315
0000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000010,000111011111011110011000001110000011111000000000010000011100111011111010000000000000000000001110011110000000100000000000011,c5315
0000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000101000000000000000000000010111000000000000000010000110000000000001000000000000000100,000111011111011110011100001110000011111000000000010000001101111111110000100000000000000000000000011011111111111110100110011,c5315
0000000000110000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,000111011111011110001000001100000010111000000000010000000001000100001010001111111100000000001011010000010010000000000001111,c5315
