input_vector,output_vector,circuit
000000000100000000000000000000000000,1111110,c432
011010000001011000000000000000000000,1000000,c432
000000000000000000000000000001000000,1111001,c432
000000000000000000000000000000010110,0011000,c432
011000100010001000100011010000100010,1010000,c432
001000100010001000110110101000100010,0001011,c432
110010111110001010101010101010101011,0100000,c432
000000000001011000000000000000000000,0011101,c432
000000000000000001000000000000000000,1111100,c432
001000100010001101100010001101101010,0011100,c432
001101111110001000101010001000100010,0011110,c432
001000100010001000100010001101101010,0001001,c432
001000100011011010100011011000100010,0011010,c432
001000100010001101101010001101100010,0011001,c432
110010101010101010101010101111100011,0100000,c432
110010101010101111100010101010101011,0100000,c432
110010101010101010101010101010111110,0100000,c432
000001000000000000000000000000000000,1111111,c432
110010101010101010101011111000101011,0100000,c432
011000100010001101000010001000100010,1010000,c432
011010000000000000010110000000000000,1000000,c432
000000000000000000000100000000000000,1111011,c432
000000000000000000000000000000000000,0000000,c432
010011001000100010001000100010001001,1100111,c432
110101000000000000000000000000000000,0110111,c432
000000000100010000000000000000000000,1111110,c432
111001101000000000000000000000000000,1001111,c432
000000000100000000000000000001000000,1111110,c432
011010000000000000000000000101100000,1000000,c432
110010101011111000101010101010101011,0100000,c432
000000000000000000010110000000000000,0011011,c432
000000000000000001000000010001000000,1111100,c432
010000010100010000000000010000000000,1110101,c432
011010101010101010101010101010111100,1000000,c432
011000110100001000100010001000100010,1010000,c432
001000100010001101101010001000100010,0001100,c432
001000100010001000100010001000110111,0001000,c432
000000000000000000000000010000000000,1111010,c432
001000100010001000100011011010100010,0001010,c432
011111100000000000000000000000000000,1000000,c432
001000110110101101100010001000100010,0011100,c432
011001100010001000100010001000100010,1010111,c432
011000100011010000100010001000100010,1010000,c432
010000000000000000000000000101000000,1110000,c432
001000100010001000110111111000100010,0011010,c432
001000110110101000100010001000100010,0001110,c432
110010101010101010111110001010101011,0100000,c432
011010000000000101100000000000000000,1000000,c432
111101001010101010101010101010101011,0101111,c432
011000100010001000110100001000100010,1010000,c432
111111100010001000100010001000100010,0011111,c432
001000100011011010100010001000100010,0001101,c432
000000000000000001000100000000000000,1111100,c432
000000000100000000000100000000000000,1111110,c432
011010010110000000000000000000000000,1000000,c432
000000000000000000000000000000000100,1111000,c432
011010000000000000000001011000000000,1000000,c432
000000000000010000000000000000000000,1111101,c432
110111100010101010101010101010101011,0100000,c432
110001100010001000100010001000100010,1011111,c432
000000000000010000000100000000000000,1111101,c432
011000100010001000100010001101000010,1010000,c432
011101000010001000100010001000100010,1010000,c432
