input_vector,output_vector,circuit
10100000000000000000000000000000010100000000000000,1101100000000100011111,c3540
01000011111000000000001000100100010000000000000000,0101001010010001101011,c3540
11110000000000000000001100000000000000001000000000,1111100110000100001100,c3540
11100000000000000010001110000000000000000000000000,1111101110000000011100,c3540
10100000001010000000000000000000000000000000000000,1011100000000010011111,c3540
10110100001010000000001010000000010000000000001000,1010101100001000001100,c3540
10000000000000000000000010000000000000000000000000,1111110011101111111111,c3540
01100100000000000000001000000010000001000000000000,1110101110101111111100,c3540
11100000000000000000011001000000000000000000000000,1111100010000000101100,c3540
01000000001100000000001000000000011000000000000100,1001100010101000001111,c3540
10111001000001000000000000000000000000000000000000,0111100000001001001111,c3540
10111000000000000000000000000000000010000000000000,1110100010000010001100,c3540
11100000000100000000001001000000000000000000000000,1111000000000100001100,c3540
11110000000000000000001000000000000000000000010000,1111100011000000001100,c3540
01000100000000000000000100100000000010000000001100,1110100011100000001011,c3540
11100001011101000000000110010111011000000000000000,0010010001111011001100,c3540
11110000001100000000000110000000100000010000000000,1010101000001010001111,c3540
11100010000000000000001100000000000000000000000000,0111001110001000001100,c3540
11011001010000000000001010100101000000000000000100,0111101010000001001000,c3540
11100001000000000000001100000000000000000000000000,0111001110000010001100,c3540
11100000000000000000101000000000000000000000000000,1111100010000100001100,c3540
10111001110000000000000000000000000000000000000000,0111000010111011011100,c3540
11110000000000000000001110000000000000000010000000,1111101110000100001100,c3540
11100000000000000001001011000000000000000000000000,1111110010000000101100,c3540
01000000000000000000000100100000011110000000001100,1111100001000000001000,c3540
11110000000010000000001101000000000000000000000000,1111000000000001001100,c3540
11110000000000000000001000000000000000010000000000,1111100110000001001100,c3540
01100000000000000000001000000010000001000000000000,1110101001101110011111,c3540
11100010100000000000001000001000000000000000000000,0101100010000000000111,c3540
11010000000000000000001000000000000000000000010000,1111100010000000000111,c3540
10010000000011000000000000000000000000000000001000,1111100101000100001111,c3540
01000000001011000000000110100000010110000000001100,1000010001100011111011,c3540
11100000100010000000001001100000000000000000000001,0111100001100000001101,c3540
11100000110101000000001011000010000000000000000010,0110110000010110001111,c3540
11110000000000000000001000000000000000000100000000,1111100010100000001100,c3540
11010101010111000000000000000000000000100000001000,0111000100100000111100,c3540
11110000000100000000001100000000000000000000000000,1111000100000001001100,c3540
11110000000000000000001100000000000000010000000000,1111100110000010001100,c3540
01100001001100000000000110000000010000000000000000,0000001100001100111111,c3540
01100001001100000000000110000000010100000000000000,0001001100001000111100,c3540
11100000000000000000011011000000000000000000000000,1111110010000000011100,c3540
00000001110000000000001000100011011110000000000000,0101000000110001101000,c3540
11110000001000000000001011000000000000000000000000,1111001000000001001100,c3540
01100101001100000000000110000000000100000000000000,0010001110100100111111,c3540
11000100000001000000000000000000000000100000000000,1111000000000000000111,c3540
01001100000000000000000100100000000010000000001100,1110100001000000001000,c3540
11100010011101000000001011000000100000000000000000,0010010001110100001100,c3540
11010100110101000000001000000100000000100000000000,0110100001110100101111,c3540
11100000000000001000001111000000000000000000000000,1111101110000001001100,c3540
11010000111111000000100000000000000000100000001000,0011100100111111111100,c3540
11100010000000000000001001000000000000000000000000,0111000010000001001100,c3540
11100000000000000000011110000000000000000000000000,1111101110000010001100,c3540
01100001010000000000000110000001100000000000000100,0101101110111111011111,c3540
11000011101100000000111010010000000000000000000000,0011001001111101111100,c3540
01100001100000000000001010000001010000000000000100,0101100011000111111111,c3540
11110000000010000000001011000000000000000000000000,1111010000100000001100,c3540
01000000000000000000000000100000011010000000001100,1110100001000000001000,c3540
01100001000100000000000110000000011100000000000000,0100101100001010111111,c3540
11100000000000000100001101000000000000000000000000,1111100110000000101100,c3540
11110000000000000000001100000000000000100000000000,1111100110001000001100,c3540
11110000010000000000001001000000000000000000000000,0111000010000000011100,c3540
01101000000100000000001010000001000000000000000000,1110010001101111111111,c3540
11100000000000000001001000000000000000000000000000,1111100010000010001100,c3540
11111100011011000000000010000000000000000000001000,0011110101111100001111,c3540
11010000000101000000000000000000000000000000001000,1111100000100010001111,c3540
11100000000000010000001000000000000000000000000000,1111100010000001001100,c3540
10101000000001000000000000000000000000000000000000,1111000000000000000111,c3540
10111110110000000000000000000000000000000000000000,0111000010111110111111,c3540
11100001011001000000010000000000000000000000000000,0111100001101001001111,c3540
11100000000000000000011100000000000000000000000000,1111100110100000001100,c3540
11010100000000000000000010000000000000001000000000,1111100010101111111100,c3540
11110000000000000000001111000000000000000100000000,1111101110001000001100,c3540
11100010111011000000000000000000000000000000000001,0001100001111100111111,c3540
01101000000100000000001010000010000000000000000000,1110010001101111111111,c3540
11110000000000000000001111000000000000010000000000,1111101110000000011100,c3540
11100000100000000000001100000000000000000000000000,0111001110000100001100,c3540
10100000001100000000001000000000011000000000000000,1001100000101000011100,c3540
01100000000000000000001000000000011110000000001000,1111101111001110001111,c3540
11110000000000000000001101000000000000001000000000,1111100110000010001100,c3540
10000011110111000000000110000011110000000000001000,0101001100100001011100,c3540
11000000001000000000001000000000010000000000000000,1100000100000100001100,c3540
00100010001000000000001010000100010000000000000000,0101100011010110101111,c3540
00100001000000000000000010000011000000000000000000,0101000001101110101111,c3540
11111010010010000000000100000111110000000000000000,0110000000100100101100,c3540
11100000000000000000101111000000000000000000000000,1111101110000010001100,c3540
11110001000010000000001010000010000000000000000000,0110100000001000001100,c3540
01000001111110000000000010100000000000000000000100,0011110001000000101011,c3540
11100000000111000000000000000000000000000000000000,1111000001000110001100,c3540
01000100000111000000000100100000001000000000001100,1100000110101000001011,c3540
11100001000000000000001010000010000000000000000000,0110000010100000001100,c3540
11100010011001000000000000000000000000000000000000,0111110001101000101111,c3540
01000000001101000000001010100000001000000000001100,1000001001100111111000,c3540
11100000000000001000001000000000000000000000000000,1111100010000000011100,c3540
01100000000000000000000000100000000000000000000100,1111110001101111111011,c3540
11110000000001000000001001000000000000000000000000,1111000000000100001100,c3540
11110000000000000000001101000000000000100000000000,1111100110100000001100,c3540
11110000100000000000001001000000000000000000000000,0111000010000001001100,c3540
11100000010000000000001100000000000000000000000000,0111000111000000001100,c3540
11100000100000000000001101000000000000000000000000,0111001111000000001100,c3540
10010100011011000000000010000000000000000000001000,0011110101101100001111,c3540
11000100011100000000000100000000011100000000001010,0000000100001000001100,c3540
11000100011100000000000100000000111000000000001000,0000000100001000001100,c3540
00100001000000000000000001000010000000000000000000,0100000000000001001100,c3540
11100000000000000001001110000000000000000000000000,1111101110100000001100,c3540
11100010010001000000001011000001000000000000000000,0110010000100100001111,c3540
11100000000000000000011000000000000000000000000000,1111100011000000001100,c3540
11111000110001000000000001000011000000000000000000,0111000001100000011100,c3540
11111011100000000000000100000110000000000000000000,0101000110000001111100,c3540
11110000000100000000001101000000000000000000000000,1111000100000000101100,c3540
11100000000000000001001111000000000000000000000000,1111101110001000001100,c3540
11000100000000000000000010000000000000001000000000,1111110011101111111111,c3540
00010000000001000000000000000000000000000000000000,1111000000000000000111,c3540
