input_vector,output_vector,circuit
11111100000000001111111000000000,10000010111110000000000000000000,c6288
00000001111111110000000011111111,00000000000000010000000101111111,c6288
11111111000000000111111100000000,01000000101111110000000000000000,c6288
00011110000111111111101111111111,00010001000111111110101000011111,c6288
11111110000000001111111100000000,10000001011111100000000000000000,c6288
00000011111001111111111111110111,00000010000110001100001010011011,c6288
11111111111010001011111111111000,11000000000110011111111101000000,c6288
10001111100000001111000010000000,11111000011100000100000000000000,c6288
00000110011111111111111011111111,00000101100010111111101110111111,c6288
11100000000000001111000000000000,10010110000000000000000000000000,c6288
00000000000001110110101010111110,00000000000000101101010110110101,c6288
00000000001110011111111111111101,00000000001001101111111100101101,c6288
11111111000000001111111110000000,10000000101111111000000000000000,c6288
00000111110011111111111111101111,00000100001100000000001000110111,c6288
10111000000000001100100000000000,11100100010000000000000000000000,c6288
11110100000000001011110000000000,11001100110100000000000000000000,c6288
00000000111111111111111100000000,00000000100000000111111100000000,c6288
00000000000000011000000000000001,00000000000000010000000000000001,c6288
11000000000000001110000000000000,10101000000000000000000000000000,c6288
00000000111111111111111110111111,00000000100000001000000010111111,c6288
11111111011111110111111111111111,01000000010000001011111101111111,c6288
00000000111100111111111111111011,00000000100011001111100010101110,c6288
00000000000111010111111111111111,00000000000010010111111111101110,c6288
01111111111001111110111111111111,01001000000110111010111111100111,c6288
11111111111111101111111111111111,10000000000000010111111111111101,c6288
11111111111111001111111111111110,10000000000000101111111111111000,c6288
11111111111110111101111111111111,10100000000001010101111111111011,c6288
00001100001111111111110111111111,00001011111011111111011111011111,c6288
00000011100111111111111111011000,00000010011000000000101011011000,c6288
11110000000000001111100000000000,10001011100000000000000000000000,c6288
11111111110100001011111111110000,11000000001100111111110100000000,c6288
00111111100011111111011111111111,00100010011101111101011110001111,c6288
00000000000001111111111111111101,00000000000001001111111111100110,c6288
