input_vector,output_vector,circuit
001101001110110110000100000000000,0011101010011011000010010,c1908
001100000010110100100000101000111,0011001000001010111011111,c1908
010010001000000110000001011100111,0100001100010000100000110,c1908
000000000000000000000011111001110,0000000000000000000000110,c1908
001100101100000110000001100110111,0011101001010000100001111,c1908
011100110000111010100110100000000,0111010001100011101000000,c1908
000000000000000010000001000000110,0000000000000000100000110,c1908
001100101100000110110001001000111,0011101001010000100001111,c1908
001100100000000010100001100000110,0010000001000000101011111,c1908
001101001110110110000100000100000,0011101010011011100010010,c1908
010000000000000010000001101000101,0000000000000000100000110,c1908
001100100100110110001101000000010,0011101001000011001000010,c1908
000100101000000000010010000000111,0001000001010000111101111,c1908
000000000000000000000011001000110,0000000000000000000000110,c1908
000000000000000001000001000100110,0000000000000000000000110,c1908
000001010100000010000001110000111,1000100010100000100111111,c1908
000000000000000000100000010000110,0000000000000000000000110,c1908
000000000000000000000000001100110,0000000000000000000000110,c1908
000001000100000000100000100100111,0000100010000000101001110,c1908
000000000000110110100001001000110,0000001000010011101100110,c1908
001100000010110110000001101010111,0011001000001011110110011,c1908
000100001000101110100010001000000,0001011000010010100100010,c1908
010010001000000101000001111100111,0100001100010000100000110,c1908
000000000000000010000011001110110,0000000000000000000000110,c1908
000001000100000001000001110100111,0000100010000000101001110,c1908
001100000010100110000111110000111,0011001000001010111011111,c1908
001100000010110101100001101000111,0011001000001011110110111,c1908
110101111100100100100010000000000,1101101011110010010000110,c1908
111100111100000110110011000000000,1111101001110000110000100,c1908
000001000100000010100001010100111,0000100010000000101001110,c1908
000010001000000100100000101001111,0000001100010000111100100,c1908
000000000000000000000011110101110,0000000000000000000000110,c1908
000000100000000010100001010000101,0000000000000000100000110,c1908
001100101100000110010001001100111,0011101001010000100001111,c1908
000000000000000000100000001000110,0000000000000000000000110,c1908
001100000010110101100001110000111,0011001000001011110110111,c1908
000010001010001100000000000000010,0000011100011000001110010,c1908
010010001000000110100001111100111,0100001100010000100000110,c1908
000000010000000010000001001100101,0000000000000000100000110,c1908
000000000010000000000000111000101,0000000000000000100000110,c1908
000000001000100100100000101000110,0000001000010011101100110,c1908
000100101000100010100000100010111,0001000001010010110100010,c1908
000100101000100001100001110100111,0001000001010010110100110,c1908
